年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2017	HS2017	0501001000-  	- - - Cheveux bruts, meme laves ou degraisses	30	 	012	008	05
2017	HS2017	0501002000-  	- - - Dechets de cheveux	30	 	012	008	05
2017	HS2017	0502101000-  	- - - soies	30	 	012	008	05
2017	HS2017	0502102000-  	- - - dechets de soies	30	 	012	008	05
2017	HS2017	0502901000-  	- - - Poils de blaireau et autres poils pour la brosserie	30	 	012	008	05
2017	HS2017	0502902000-  	- - - Dechets de ces poils	30	 	012	008	05
2017	HS2017	0504001100-  	- - - - Frais ou refrigeres	30	 	012	008	05
2017	HS2017	0504001200-  	- - - - Congeles	30	 	012	008	05
2017	HS2017	0504001300-  	- - - - Sales ou en saumure	30	 	012	008	05
2017	HS2017	0504001400-  	- - - - Seches ou fumes	30	 	012	008	05
2017	HS2017	0504002100-  	- - - - Frais ou refrigeres	30	 	012	008	05
2017	HS2017	0504002200-  	- - - - Congeles	30	 	012	008	05
2017	HS2017	0504002300-  	- - - - Sales ou en saumure	30	 	012	008	05
2017	HS2017	0504002400-  	- - - - Seches ou fumes	30	 	012	008	05
2017	HS2017	0504003100-  	- - - - Frais ou refrigeres	30	 	012	008	05
2017	HS2017	0504003200-  	- - - - Congeles	30	 	012	008	05
2017	HS2017	0504003300-  	- - - - Sales ou en saumure	30	 	012	008	05
2017	HS2017	0504003400-  	- - - - Seches ou fumes	30	 	012	008	05
2017	HS2017	0505101000-  	- - - bruts	30	 	012	008	05
2017	HS2017	0505109000-  	- - - autres	30	 	012	008	05
2017	HS2017	0505901000-  	- - - Peaux et autres partiesd'oiseaux revetues de leurs plumes ou de leur duvet	30	 	012	008	05
2017	HS2017	0505902000-  	- - - Poudres et dechets de plumes ou de parties de plumes	30	 	012	008	05
2017	HS2017	0505909000-  	- - - Autres	30	 	012	008	05
2017	HS2017	0506100000-  	- Osséine et os acidulés	30	 	012	008	05
2017	HS2017	0506901000-  	- - - Poudres et dechets	30	 	012	008	05
2017	HS2017	0506909000-  	- - - Autres	30	 	012	008	05
2017	HS2017	0507101000-  	- - - Ivoire	30	 	012	008	05
2017	HS2017	0507102000-  	- - - Poudre et dechets d'ivoire	30	 	012	008	05
2017	HS2017	0507901000-  	- - - Ecaille de tortue	30	 	012	008	05
2017	HS2017	0507902000-  	- - - Fanons (y compris les barbes) de baleine ou d'autres mammiferes marins	30	 	012	008	05
2017	HS2017	0507903000-  	- - - Cornes, bois, sabots, ongles, griffes et becs	30	 	012	008	05
2017	HS2017	0507904000-  	- - - Poudres et dechets	30	 	012	008	05
2017	HS2017	0508001100-  	- - - - Corail brut	30	 	012	008	05
2017	HS2017	0508001200-  	- - - - Corail simplement prepare	30	 	012	008	05
2017	HS2017	0508001900-  	- - - - Autres	30	 	012	008	05
2017	HS2017	0508009100-  	- - - - Coquilles et carapaces de mollusques, de crustaces ou d'echinodermes	30	 	012	008	05
2017	HS2017	0508009900-  	- - - - Autres	30	 	012	008	05
2017	HS2017	0510001100-  	- - - - Hypophyse (glande pituitaire)	5	 	012	008	05
2017	HS2017	0510001900-  	- - - - Autres	5	 	012	008	05
2017	HS2017	0510009100-  	- - - - Ambre gris, castoreum, civette et musc	15	 	012	008	05
2017	HS2017	0510009200-  	- - - - Bile meme sechee	15	 	012	008	05
2017	HS2017	0510009300-  	- - - - Cantharides	15	 	012	008	05
2017	HS2017	0511101000-  	- - - Congele	5	 	012	008	05
2017	HS2017	0511109000-  	- - - Autres	5	 	012	008	05
2017	HS2017	0511911000-  	- - - oeufs de poissons destines a la reproduction	30	 	012	008	05
2017	HS2017	0511912000-  	- - - oeufs sales de morue, de maquereaux et similaires, constituant des rogues pour la peche	30	 	012	008	05
2017	HS2017	0511913100-  	- - - - Cystes (oeufs des artemias)	30	 	012	008	05
2017	HS2017	0511913900-  	- - - - Autres	30	 	012	008	05
2017	HS2017	0511914000-  	- - - Dechets de poissons	30	 	012	008	05
2017	HS2017	0511919000-  	- - - Autres	30	 	012	008	05
2017	HS2017	0511991000-  	- - - Eponges naturelles d'origine animale sous forme brute	5	 	012	008	05
2017	HS2017	0511999100-  	- - - - Embryonsd'animaux et semence animale	30	 	012	008	05
2017	HS2017	0511999200-  	- - - - Animaux morts du Chapitre 1	30	 	012	008	05
2017	HS2017	0511999900-  	- - - - Autres	30	 	012	008	05
