年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	32011000-  	–  Quebracho extract	6	 	008	012	32
2019	HS2017	32012000-  	–  Wattle extract	6	 	008	012	32
2019	HS2017	32019020-  	– –  Sumach extract, vallonia extract, oak extract or chestnut extract	6	 	008	012	32
2019	HS2017	32019090-  	– –  Other	6	 	008	012	32
2019	HS2017	32021000-  	–  Synthetic organic tanning substances	6	 	008	012	32
2019	HS2017	32029000-  	–  Other	6	 	008	012	32
2019	HS2017	32030010-  	–  Colouring matter of vegetable origin and preparations based thereon	0	 	008	012	32
2019	HS2017	32030090-  	–  Colouring matter of animal origin and preparations based thereon	6	 	008	012	32
2019	HS2017	32041100-  	– –  Disperse dyes and preparations based thereon	6	 	008	012	32
2019	HS2017	32041200-  	– –  Acid dyes, whether or not premetallised, and preparations based thereon; mordant dyes and preparations based thereon	0	 	008	012	32
2019	HS2017	32041300-  	– –  Basic dyes and preparations based thereon	0	 	008	012	32
2019	HS2017	32041400-  	– –  Direct dyes and preparations based thereon	6	 	008	012	32
2019	HS2017	32041500-  	– –  Vat dyes (including those usable in that state as pigments) and preparations based thereon	6	 	008	012	32
2019	HS2017	32041600-  	– –  Reactive dyes and preparations based thereon	6	 	008	012	32
2019	HS2017	32041700-  	– –  Pigments and preparations based thereon	6	 	008	012	32
2019	HS2017	32041900-  	– –  Other, including mixtures of colouring matter of two or more of the subheadings 3204 11 to 3204 19	0	 	008	012	32
2019	HS2017	32042000-  	–  Synthetic organic products of a kind used as fluorescent brightening agents	6	 	008	012	32
2019	HS2017	32049000-  	–  Other	0	 	008	012	32
2019	HS2017	32050000-  	Colour lakes; preparations as specified in note 3 to this chapter based on colour lakes	6	 	008	012	32
2019	HS2017	32061100-  	– –  Containing 80 % or more by weight of titanium dioxide calculated on the dry matter	6	 	008	012	32
2019	HS2017	32061900-  	– –  Other	6	 	008	012	32
2019	HS2017	32062000-  	–  Pigments and preparations based on chromium compounds	6	 	008	012	32
2019	HS2017	32064100-  	– –  Ultramarine and preparations based thereon	6	 	008	012	32
2019	HS2017	32064200-  	– –  Lithopone and other pigments and preparations based on zinc sulphide	6	 	008	012	32
2019	HS2017	32064910-  	– – –  Magnetite	6	 	008	012	32
2019	HS2017	32064970-  	– – –  Other	6	 	008	012	32
2019	HS2017	32065000-  	–  Inorganic products of a kind used as luminophores	6	 	008	012	32
2019	HS2017	32071000-  	–  Prepared pigments, prepared opacifiers, prepared colours and similar preparations	6	 	008	012	32
2019	HS2017	32072010-  	– –  Engobes (slips)	6	 	008	012	32
2019	HS2017	32072090-  	– –  Other	6	 	008	012	32
2019	HS2017	32073000-  	–  Liquid lustres and similar preparations	6	 	008	012	32
2019	HS2017	32074040-  	– –  Glass in the form of flakes of a length of 0,1 mm or more but not exceeding 3,5 mm and of a thickness of 2 micrometres or more but not exceeding 5 micrometres; glass, in the form of powder or granules, containing by weight 99 % or more of silicon dioxide	6	 	008	012	32
2019	HS2017	32074085-  	– –  Other	6	 	008	012	32
2019	HS2017	32081010-  	– –  Solutions as defined in note 4 to this chapter	6	 	008	012	32
2019	HS2017	32081090-  	– –  Other	6	 	008	012	32
2019	HS2017	32082010-  	– –  Solutions as defined in note 4 to this chapter	6	 	008	012	32
2019	HS2017	32082090-  	– –  Other	6	 	008	012	32
2019	HS2017	32089011-  	– – –  Polyurethane of 2,2'-(tert-butylimino)diethanol and 4,4'-methylenedicyclohexyl diisocyanate, in the form of a solution in N,N-dimethylacetamide, containing by weight 48 % or more of polymer	6	 	008	012	32
2019	HS2017	32089013-  	– – –  Copolymer of p-cresol and divinylbenzene, in the form of a solution in N,N-dimethylacetamide, containing by weight 48 % or more of polymer	6	 	008	012	32
2019	HS2017	32089019-  	– – –  Other	6	 	008	012	32
2019	HS2017	32089091-  	– – –  Based on synthetic polymers	6	 	008	012	32
2019	HS2017	32089099-  	– – –  Based on chemically modified natural polymers	6	 	008	012	32
2019	HS2017	32091000-  	–  Based on acrylic or vinyl polymers	6	 	008	012	32
2019	HS2017	32099000-  	–  Other	6	 	008	012	32
2019	HS2017	32100010-  	–  Oil paints and varnishes (including enamels and lacquers)	6	 	008	012	32
2019	HS2017	32100090-  	–  Other	6	 	008	012	32
2019	HS2017	32110000-  	Prepared driers	6	 	008	012	32
2019	HS2017	32121000-  	–  Stamping foils	6	 	008	012	32
2019	HS2017	32129000-  	–  Other	6	 	008	012	32
2019	HS2017	32131000-  	–  Colours in sets	6	 	008	012	32
2019	HS2017	32139000-  	–  Other	6	 	008	012	32
2019	HS2017	32141010-  	– –  Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics	2	 	008	012	32
2019	HS2017	32141090-  	– –  Painters' fillings	6	 	008	012	32
2019	HS2017	32149000-  	–  Other	6	 	008	012	32
2019	HS2017	32151100-  	– –  Black	0	 	008	012	32
2019	HS2017	32151900-  	– –  Other	0	 	008	012	32
2019	HS2017	32159020-  	– –  Ink cartridges (without an integrated print head) for insertion into apparatus of subheadings 8443 31, 8443 32 or 8443 39, and incorporating mechanical or electrical components; solid ink in engineered shapes for insertion into apparatus of subheadings 8443 31, 8443 32 or 8443 39	0	 	008	012	32
2019	HS2017	32159070-  	– –  Other	0	 	008	012	32
