年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	2901100001-  	- - Ethane; butane; isobutane	3	 	051	008	29
2018	HS2017	2901100002-  	- - Pentane; isopentane	3	 	051	008	29
2018	HS2017	2901100009-  	- - Other	3	 	051	008	29
2018	HS2017	2901210000-  	- - Ethylene	3	 	051	008	29
2018	HS2017	2901220000-  	- - Propene (propylene)	3	 	051	008	29
2018	HS2017	2901230000-  	- - Butene (butylene) and isomers thereof	3	 	051	008	29
2018	HS2017	2901240001-  	- - - Buta-1,3-diene	0	 	051	008	29
2018	HS2017	2901240002-  	- - - Isoprene	3	 	051	008	29
2018	HS2017	2901290000-  	- - Other	3	 	051	008	29
2018	HS2017	2902110000-  	- - Cyclohexane	3	 	051	008	29
2018	HS2017	2902190000-  	- - Other	3	 	051	008	29
2018	HS2017	2902200000-  	- Benzene	0	 	051	008	29
2018	HS2017	2902300000-  	- Toluene	0	 	051	008	29
2018	HS2017	2902410000-  	- - ?-xylene	3	 	051	008	29
2018	HS2017	2902420000-  	- - m-xylene	3	 	051	008	29
2018	HS2017	2902430000-  	- - p-xylene	3	 	051	008	29
2018	HS2017	2902440000-  	- - Mixed xylene isomers	3	 	051	008	29
2018	HS2017	2902500000-  	- Styrene	3	 	051	008	29
2018	HS2017	2902600000-  	- Ethylbenzene	3	 	051	008	29
2018	HS2017	2902700000-  	- Xumene	3	 	051	008	29
2018	HS2017	2902900000-  	- Other	0	 	051	008	29
2018	HS2017	2903110000-  	- - Chloromethane (methyl chloride) and chloroethane (ethyl chloride)	5	 	051	008	29
2018	HS2017	2903120000-  	- - Dichloromethane (methylene chloride)	5	 	051	008	29
2018	HS2017	2903130000-  	- - Chloroform (trichloromethane)	0	 	051	008	29
2018	HS2017	2903140000-  	- - Carbon tetrachloride	0	 	051	008	29
2018	HS2017	2903150000-  	- - Ethylene dichloride (ISO) (1,2-dichloroethane)	5.5	 	051	008	29
2018	HS2017	2903190000-  	- - Other	5	 	051	008	29
2018	HS2017	2903210000-  	- - Vinyl chloride (chloroethylene)	5	 	051	008	29
2018	HS2017	2903220000-  	- - Trichlorethylene	0	 	051	008	29
2018	HS2017	2903230000-  	- - Tetrachloroethylene (perchloroethylene)	5	 	051	008	29
2018	HS2017	2903290000-  	- - Other	5	 	051	008	29
2018	HS2017	2903310000-  	- - Ethylene dibromide (ISO) (1,2-dibromoethane)	5	 	051	008	29
2018	HS2017	2903391100-  	- - - - Bromomethane (methyl bromide)	5	 	051	008	29
2018	HS2017	2903391500-  	- - - - Dibromomethane	5	 	051	008	29
2018	HS2017	2903391900-  	- - - - Other	5	 	051	008	29
2018	HS2017	2903392100-  	- - - - Difluoromethane	5	 	051	008	29
2018	HS2017	2903392300-  	- - - - Trifluoromethane	5	 	051	008	29
2018	HS2017	2903392400-  	- - - - Pentafluoroethane and 1,1,1-trifluoroethane	5	 	051	008	29
2018	HS2017	2903392500-  	- - - - 1,1-difluoroethane	5	 	051	008	29
2018	HS2017	2903392600-  	- - - - 1,1,1,2-tetrafluoroethane	5	 	051	008	29
2018	HS2017	2903392700-  	- - - - Pentafluoropropanes, hexafluoropropanes and heptafluoropropanes	5	 	051	008	29
2018	HS2017	2903392800-  	- - - - Perfluorinated saturated fluorides	5	 	051	008	29
2018	HS2017	2903392900-  	- - - - Other saturated fluorides	5	 	051	008	29
2018	HS2017	2903393100-  	- - - - 2,3,3,3-tetrafluoropropene	5	 	051	008	29
2018	HS2017	2903393500-  	- - - - 1,3,3,3-tetrafluoropropene	5	 	051	008	29
2018	HS2017	2903393900-  	- - - - Other unsaturated fluorides	5	 	051	008	29
2018	HS2017	2903398000-  	- - - Iodides	5	 	051	008	29
2018	HS2017	2903710000-  	- - Chlorodifluoromethane	5	 	051	008	29
2018	HS2017	2903720000-  	- - Dichlorotrifluoroethanes	5	 	051	008	29
2018	HS2017	2903730000-  	- - Dichlorofluoroethanes	5	 	051	008	29
2018	HS2017	2903740000-  	- - Chlorodifluoroethanes	5	 	051	008	29
2018	HS2017	2903750000-  	- - Dichloropentafluoropropanes	5	 	051	008	29
2018	HS2017	2903761000-  	- - - Bromochlorodifluoromethane	5	 	051	008	29
2018	HS2017	2903762000-  	- - - Bromotrifluoromethane	5	 	051	008	29
