年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	3001201000-  	- - Of human origin	6.5	 	051	008	30
2018	HS2017	3001209000-  	- - Other	6.5	 	051	008	30
2018	HS2017	3001902000-  	- - Of human origin	6.5	 	051	008	30
2018	HS2017	3001909100-  	- - - Heparin and its salts	0	 	051	008	30
2018	HS2017	3001909800-  	- - - Other	6.5	 	051	008	30
2018	HS2017	3002110000-  	- - Malaria diagnostic test kits	2	 	051	008	30
2018	HS2017	3002120001-  	- - - - Snake venom	0	 	051	008	30
2018	HS2017	3002120002-  	- - - - Other	0	 	051	008	30
2018	HS2017	3002120003-  	- - - - Haemoglobin, blood globulins and serum globulins	2	 	051	008	30
2018	HS2017	3002120004-  	- - - - - - Blood coagulation factors	2	 	051	008	30
2018	HS2017	3002120005-  	- - - - - - Other	2	 	051	008	30
2018	HS2017	3002120009-  	- - - - - Other	0	 	051	008	30
2018	HS2017	3002130000-  	- - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale	2	 	051	008	30
2018	HS2017	3002140000-  	- - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale	2	 	051	008	30
2018	HS2017	3002150000-  	- - Immunological products, put up in measured doses or in forms or packings for retail sale	2	 	051	008	30
2018	HS2017	3002190000-  	- - Other	0	 	051	008	30
2018	HS2017	3002200001-  	- - Measles vaccine	2	 	051	008	30
2018	HS2017	3002200002-  	- - Hepatitis B vaccine	2	 	051	008	30
2018	HS2017	3002200009-  	- - Other	2	 	051	008	30
2018	HS2017	3002300000-  	- Vaccines for veterinary medicine	3	 	051	008	30
2018	HS2017	3002901000-  	- - Human blood	2	 	051	008	30
2018	HS2017	3002903000-  	- - Animal blood prepared for use for therapeutic, prophylactic or diagnostic purposes	2	 	051	008	30
2018	HS2017	3002905000-  	- - Cultures of micro-organisms	2	 	051	008	30
2018	HS2017	3002909000-  	- - Other	2	 	051	008	30
2018	HS2017	3003100000-  	- Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives	0	 	051	008	30
2018	HS2017	3003200000-  	- Other, containing antibiotics	0	 	051	008	30
2018	HS2017	3003310000-  	- - Containing insulin	0	 	051	008	30
2018	HS2017	3003390000-  	- - Other	0	 	051	008	30
2018	HS2017	3003410000-  	- - Containing ephedrine or its salts	0	 	051	008	30
2018	HS2017	3003420000-  	- - Containing pseudoephedrine (INN) or its salts	0	 	051	008	30
2018	HS2017	3003430000-  	- - Containing norephedrine or its salts	0	 	051	008	30
2018	HS2017	3003490000-  	- - Other	0	 	051	008	30
2018	HS2017	3003600000-  	- Other, containing antimalarial active principles described in subheading note 2 to this Chapter	0	 	051	008	30
2018	HS2017	3003900000-  	- Other	0	 	051	008	30
2018	HS2017	3004100001-  	- - - Containing as the main active ingredient only: Ampicillin trihydrate or ampicillin sodium salt, benzylpenicillin salts and compounds, or carbenicillin, oxacillin or sulacillin (sultamicillin) or phenoxymethylpenicillin	0	 	051	008	30
2018	HS2017	3004100004-  	- - - - Pre-packed or presented in unit dosage form, but not put up in packings for retail sale	0	 	051	008	30
2018	HS2017	3004100005-  	- - - - Other	0	 	051	008	30
2018	HS2017	3004100006-  	- - - - Containing as the main active ingredient only streptomycin sulphate	2	 	051	008	30
2018	HS2017	3004100007-  	- - - - Other	0	 	051	008	30
2018	HS2017	3004100008-  	- - - Other	2	 	051	008	30
2018	HS2017	3004200001-  	- - - Containing as the main active ingredient only: Amikacin or gentamicin, or griseofulvin, or doxycycline, or doxorubicin, or kanamycin, and fusidic acid and its sodium salt, or levomycetin (chloramphenicol) and its salts, or lincomycin, or metacycline	0	 	051	008	30
2018	HS2017	3004200002-  	- - - Other	0	 	051	008	30
2018	HS2017	3004200003-  	- - - Containing as the main active ingredient only erythromycin base or kanamycin sulphate	0	 	051	008	30
2018	HS2017	3004200009-  	- - - Other	0	 	051	008	30
2018	HS2017	3004310000-  	- - Containing insulin	0	 	051	008	30
2018	HS2017	3004320001-  	- - - Put up in forms or packings for retail sale and containing only fluocinolone as the main active ingredient	0	 	051	008	30
2018	HS2017	3004320009-  	- - - Other	0	 	051	008	30
2018	HS2017	3004390001-  	- - - Put up in forms or packings for retail sale	0	 	051	008	30
2018	HS2017	3004390009-  	- - - Other	0	 	051	008	30
2018	HS2017	3004410000-  	- - Containing ephedrine or its salts	0	 	051	008	30
2018	HS2017	3004420000-  	- - Containing pseudoephedrine (INN) or its salts	0	 	051	008	30
2018	HS2017	3004430000-  	- - Containing norephedrine or its salts	0	 	051	008	30
2018	HS2017	3004490001-  	- - - Put up in forms or packings for retail sale and containing only as the main active ingredient: Caffeine sodiobenzoate or xantinol nicotinate, or papaverine, or pilocarpine, or theobromine, or theophylline	0	 	051	008	30
2018	HS2017	3004490009-  	- - - Other	0	 	051	008	30
2018	HS2017	3004500001-  	- - - Containing as the main active ingredient only: Ascorbic acid (vitamin C) or nicotinic acid or cocarboxylase or nicotinamide, or pyridoxine, or thiamine and salts thereof (vitamin ?1) or cyanocobalamin (vitamin ?12)	0	 	051	008	30
2018	HS2017	3004500002-  	- - - Other	0	 	051	008	30
2018	HS2017	3004500005-  	- - - Containing only alpha-tocopherol acetate (vitamin E) as the main active ingredient	0	 	051	008	30
2018	HS2017	3004500006-  	- - - Containing as the main active ingredient only: Cocarboxylase or ascorbic acid (vitamin C) or cyanocobalamin (vitamin B12)	0	 	051	008	30
2018	HS2017	3004500008-  	- - - Other	0	 	051	008	30
2018	HS2017	3004600000-  	- Other, containing antimalarial active principles described in subheading note 2 to this Chapter	0	 	051	008	30
2018	HS2017	3004900001-  	- - - Containing iodine or iodine compounds	0	 	051	008	30
2018	HS2017	3004900002-  	- - - Other	0	 	051	008	30
2018	HS2017	3004900005-  	- - - Containing iodine or iodine compounds	0	 	051	008	30
2018	HS2017	3004900006-  	- - - - Containing as the main active ingredient only: Acetylsalicylic acid or paracetamol, or riboxinum (inosine), or polyvinylpyrrolidone	0	 	051	008	30
2018	HS2017	3004900009-  	- - - - Other	0	 	051	008	30
2018	HS2017	3005100000-  	- Adhesive dressings and other articles having an adhesive layer	0	 	051	008	30
2018	HS2017	3005901000-  	- - Wadding and articles of wadding	0	 	051	008	30
